directory,sample,total_events,valid_events
,NMSSM_X400_Y60.parquet,24950,24950
,NMSSM_X400_Y70.parquet,26319,26319
,NMSSM_X400_Y80.parquet,2768,2768
,NMSSM_X400_Y90.parquet,4596,4596
,NMSSM_X400_Y95.parquet,3568,3568
,NMSSM_X500_Y100.parquet,1379,1379
,NMSSM_X500_Y125.parquet,1209,1209
,NMSSM_X500_Y150.parquet,8617,8617
,NMSSM_X500_Y200.parquet,7762,7762
,NMSSM_X500_Y300.parquet,7274,7274
,NMSSM_X500_Y60.parquet,9811,9811
,NMSSM_X500_Y70.parquet,3084,3084
,NMSSM_X500_Y80.parquet,16836,16836
,NMSSM_X500_Y90.parquet,4719,4719
,NMSSM_X500_Y95.parquet,3487,3487
,NMSSM_X550_Y100.parquet,4326,4326
,NMSSM_X550_Y125.parquet,5201,5201
,NMSSM_X550_Y150.parquet,2289,2289
,NMSSM_X550_Y200.parquet,1408,1408
,NMSSM_X550_Y300.parquet,2519,2519
,NMSSM_X550_Y400.parquet,3878,3878
,NMSSM_X550_Y60.parquet,859,859
,NMSSM_X550_Y70.parquet,2341,2341
,NMSSM_X550_Y80.parquet,284,284
,NMSSM_X550_Y90.parquet,9728,9728
,NMSSM_X550_Y95.parquet,9352,9352
,NMSSM_X600_Y100.parquet,2473,2473
,NMSSM_X600_Y125.parquet,1203,1203
,NMSSM_X600_Y150.parquet,16778,16778
,NMSSM_X600_Y200.parquet,10353,10353
,NMSSM_X600_Y300.parquet,11846,11846
,NMSSM_X600_Y400.parquet,8143,8143
,NMSSM_X600_Y60.parquet,601,601
,NMSSM_X600_Y70.parquet,1267,1267
,NMSSM_X600_Y80.parquet,1231,1231
,NMSSM_X600_Y90.parquet,15747,15747
,NMSSM_X600_Y95.parquet,3337,3337
,NMSSM_X650_Y100.parquet,4719,4719
,NMSSM_X650_Y125.parquet,5466,5466
,NMSSM_X650_Y150.parquet,937,937
,NMSSM_X650_Y200.parquet,5793,5793
,NMSSM_X650_Y300.parquet,15936,15936
,NMSSM_X650_Y400.parquet,14320,14320
